,Kl,rob_gamma,kR
0,0.1,0.023338087144192752,0.1
1,0.16378937069540642,0.014957494409935865,0.1
2,0.2682695795279726,0.04780181430643358,0.1
3,0.43939705607607904,0.2822213850555854,0.1
4,0.7196856730011519,0.7624048785340014,0.1
5,1.1787686347935873,0.9632223293886035,0.1
6,1.9306977288832496,0.6546019917174045,0.1
7,3.1622776601683795,0.4461502595329063,0.1
8,5.17947467923121,0.3575080931368536,0.1
9,8.483428982440717,0.3179998433851337,0.1
10,13.894954943731374,0.3026219684248186,0.1
11,22.758459260747887,0.30365182305323385,0.1
12,37.27593720314938,0.32155978194543033,0.1
13,61.054022965853264,0.3655416439853335,0.1
14,100.0,0.4648921927551298,0.1
0,0.1,0.023372562189370016,0.16378937069540642
1,0.16378937069540642,0.01510002920538299,0.16378937069540642
2,0.2682695795279726,0.046530798557276154,0.16378937069540642
3,0.43939705607607904,0.27428215811037626,0.16378937069540642
4,0.7196856730011519,0.7103050382740156,0.16378937069540642
5,1.1787686347935873,0.8112564681946255,0.16378937069540642
6,1.9306977288832496,0.5570452636537373,0.16378937069540642
7,3.1622776601683795,0.4074449992084341,0.16378937069540642
8,5.17947467923121,0.3405565375606298,0.16378937069540642
9,8.483428982440717,0.3105558423975922,0.16378937069540642
10,13.894954943731374,0.3007601777711199,0.16378937069540642
11,22.758459260747887,0.3065829931567675,0.16378937069540642
12,37.27593720314938,0.3307703788132284,0.16378937069540642
13,61.054022965853264,0.3865037682643684,0.16378937069540642
14,100.0,0.5146151305795965,0.16378937069540642
0,0.1,0.02345351867551972,0.2682695795279726
1,0.16378937069540642,0.015434031465106555,0.2682695795279726
2,0.2682695795279726,0.04358639484998783,0.2682695795279726
3,0.43939705607607904,0.2569908998817035,0.2682695795279726
4,0.7196856730011519,0.6251208558677498,0.2682695795279726
5,1.1787686347935873,0.6633449869650974,0.2682695795279726
6,1.9306977288832496,0.4818793902835699,0.2682695795279726
7,3.1622776601683795,0.3762990666175946,0.2682695795279726
8,5.17947467923121,0.32645851000465886,0.2682695795279726
9,8.483428982440717,0.30457334793634105,0.2682695795279726
10,13.894954943731374,0.3000308236221149,0.2682695795279726
11,22.758459260747887,0.310911584076097,0.2682695795279726
12,37.27593720314938,0.3424603329188638,0.2682695795279726
13,61.054022965853264,0.4131543045799463,0.2682695795279726
14,100.0,0.5797964864021665,0.2682695795279726
0,0.1,0.023634634358081254,0.43939705607607904
1,0.16378937069540642,0.016178487146491692,0.43939705607607904
2,0.2682695795279726,0.03718064741620143,0.43939705607607904
3,0.43939705607607904,0.22347386523857002,0.43939705607607904
4,0.7196856730011519,0.5110196722638984,0.43939705607607904
5,1.1787686347935873,0.5354660723951479,0.43939705607607904
6,1.9306977288832496,0.42208675382441724,0.43939705607607904
7,3.1622776601683795,0.3501195494488981,0.43939705607607904
8,5.17947467923121,0.3143010382462045,0.43939705607607904
9,8.483428982440717,0.2996818101468421,0.43939705607607904
10,13.894954943731374,0.30031992492529347,0.43939705607607904
11,22.758459260747887,0.31675486821419435,0.43939705607607904
12,37.27593720314938,0.35718282126504997,0.43939705607607904
13,61.054022965853264,0.447326575842363,0.43939705607607904
14,100.0,0.6650162089844613,0.43939705607607904
0,0.1,0.023997608555267225,0.7196856730011519
1,0.16378937069540642,0.0176617020327497,0.7196856730011519
2,0.2682695795279726,0.025768953835232884,0.7196856730011519
3,0.43939705607607904,0.1694348422411908,0.7196856730011519
4,0.7196856730011519,0.38409770835027535,0.7196856730011519
5,1.1787686347935873,0.42825286620580466,0.7196856730011519
6,1.9306977288832496,0.37144973355587485,0.7196856730011519
7,3.1622776601683795,0.3266770501858705,0.7196856730011519
8,5.17947467923121,0.30317792766511525,0.7196856730011519
9,8.483428982440717,0.2954712238002389,0.7196856730011519
10,13.894954943731374,0.30149468730545026,0.7196856730011519
11,22.758459260747887,0.3242703892030621,0.7196856730011519
12,37.27593720314938,0.3756970316165269,0.7196856730011519
13,61.054022965853264,0.49157356341757497,0.7196856730011519
14,100.0,0.7738157077541022,0.7196856730011519
0,0.1,0.02457368055944,1.1787686347935873
1,0.16378937069540642,0.02039458745061368,1.1787686347935873
2,0.2682695795279726,0.01238878280935944,1.1787686347935873
3,0.43939705607607904,0.10040562061826074,1.1787686347935873
4,0.7196856730011519,0.25856141209064326,1.1787686347935873
5,1.1787686347935873,0.33319385872616314,1.1787686347935873
6,1.9306977288832496,0.32401473774982165,1.1787686347935873
7,3.1622776601683795,0.3035527458821367,1.1787686347935873
8,5.17947467923121,0.2919587560896863,1.1787686347935873
9,8.483428982440717,0.2913797694726756,1.1787686347935873
10,13.894954943731374,0.3033488701980248,1.1787686347935873
11,22.758459260747887,0.3336480773752211,1.1787686347935873
12,37.27593720314938,0.3990450074667473,1.1787686347935873
13,61.054022965853264,0.5493162588949287,1.1787686347935873
14,100.0,0.904997796802061,1.1787686347935873
0,0.1,0.025178238540387254,1.9306977288832496
1,0.16378937069540642,0.023382956428321756,1.9306977288832496
2,0.2682695795279726,0.0153461027733525,1.9306977288832496
3,0.43939705607607904,0.033199613584939565,1.9306977288832496
4,0.7196856730011519,0.1388666925206651,1.9306977288832496
5,1.1787686347935873,0.23706984134474055,1.9306977288832496
6,1.9306977288832496,0.2721033395780288,1.9306977288832496
7,3.1622776601683795,0.27712570423003313,1.9306977288832496
8,5.17947467923121,0.27881263879945384,1.9306977288832496
9,8.483428982440717,0.2864531777780414,1.9306977288832496
10,13.894954943731374,0.3054825968167541,1.9306977288832496
11,22.758459260747887,0.34507740579503365,1.9306977288832496
12,37.27593720314938,0.4286426160758325,1.9306977288832496
13,61.054022965853264,0.6246347855654334,1.9306977288832496
14,100.0,1.049138156864825,1.9306977288832496
0,0.1,0.025518332974286295,3.1622776601683795
1,0.16378937069540642,0.02508458817375881,3.1622776601683795
2,0.2682695795279726,0.02292561382387114,3.1622776601683795
3,0.43939705607607904,0.013780745104768207,3.1622776601683795
4,0.7196856730011519,0.036732546120062326,3.1622776601683795
5,1.1787686347935873,0.12592326817778288,3.1622776601683795
6,1.9306977288832496,0.2020491324441369,3.1622776601683795
7,3.1622776601683795,0.23997050332169031,3.1622776601683795
8,5.17947467923121,0.25994936457823475,3.1622776601683795
9,8.483428982440717,0.2787314658974971,3.1622776601683795
10,13.894954943731374,0.30700286994395165,3.1622776601683795
11,22.758459260747887,0.3586370305612594,3.1622776601683795
12,37.27593720314938,0.46633445132145185,3.1622776601683795
13,61.054022965853264,0.7208998912865388,3.1622776601683795
14,100.0,1.1895951060911614,3.1622776601683795
0,0.1,0.025604543728246266,5.17947467923121
1,0.16378937069540642,0.025546757217190436,5.17947467923121
2,0.2682695795279726,0.02523684910941125,5.17947467923121
3,0.43939705607607904,0.02367537988262492,5.17947467923121
4,0.7196856730011519,0.016563621702579454,5.17947467923121
5,1.1787686347935873,0.02264192797690697,5.17947467923121
6,1.9306977288832496,0.09699393488689283,5.17947467923121
7,3.1622776601683795,0.17460621797633621,5.17947467923121
8,5.17947467923121,0.22586480035184517,5.17947467923121
9,8.483428982440717,0.26347556459224497,5.17947467923121
10,13.894954943731374,0.3057034898394053,5.17947467923121
11,22.758459260747887,0.373951614376227,5.17947467923121
12,37.27593720314938,0.5142182524699577,5.17947467923121
13,61.054022965853264,0.8372551832019849,5.17947467923121
14,100.0,1.307472092249151,5.17947467923121
0,0.1,0.025616374624995036,8.483428982440717
1,0.16378937069540642,0.02561036425410092,8.483428982440717
2,0.2682695795279726,0.025578043800363288,8.483428982440717
3,0.43939705607607904,0.025404486302399467,8.483428982440717
4,0.7196856730011519,0.02450675006731455,8.483428982440717
5,1.1787686347935873,0.020159133150507467,8.483428982440717
6,1.9306977288832496,0.01065560516207536,8.483428982440717
7,3.1622776601683795,0.06767091759225807,8.483428982440717
8,5.17947467923121,0.15445085178468282,8.483428982440717
9,8.483428982440717,0.22817627865438395,8.483428982440717
10,13.894954943731374,0.29575583343246664,8.483428982440717
11,22.758459260747887,0.3891930029674807,8.483428982440717
12,37.27593720314938,0.5736758269165972,8.483428982440717
13,61.054022965853264,0.9642765228563432,8.483428982440717
14,100.0,1.3896689910858284,8.483428982440717
0,0.1,0.025617584857977545,13.894954943731374
1,0.16378937069540642,0.025616873708101562,13.894954943731374
2,0.2682695795279726,0.025613048655062143,13.894954943731374
3,0.43939705607607904,0.025592476050629583,13.894954943731374
4,0.7196856730011519,0.025481923877069164,13.894954943731374
5,1.1787686347935873,0.02489476985777159,13.894954943731374
6,1.9306977288832496,0.021983633963653732,13.894954943731374
7,3.1622776601683795,0.010813060933441048,13.894954943731374
8,5.17947467923121,0.050509494822298585,13.894954943731374
9,8.483428982440717,0.15095307909089514,13.894954943731374
10,13.894954943731374,0.2630941047548675,13.894954943731374
11,22.758459260747887,0.39873613655587037,13.894954943731374
12,37.27593720314938,0.6426282879608213,13.894954943731374
13,61.054022965853264,1.0841906534830943,13.894954943731374
14,100.0,1.43686688789846,13.894954943731374
0,0.1,0.025617716792554035,22.758459260747887
1,0.16378937069540642,0.025617583627044083,22.758459260747887
2,0.2682695795279726,0.025616867476742838,22.758459260747887
3,0.43939705607607904,0.02561301418595462,22.758459260747887
4,0.7196856730011519,0.025592290481280307,22.758459260747887
5,1.1787686347935873,0.025480896903076502,22.758459260747887
6,1.9306977288832496,0.02489056840788509,22.758459260747887
7,3.1622776601683795,0.021941466811207937,22.758459260747887
8,5.17947467923121,0.010553898689613254,22.758459260747887
9,8.483428982440717,0.05923895335907753,22.758459260747887
10,13.894954943731374,0.19474092806625565,22.758459260747887
11,22.758459260747887,0.39174699382924577,22.758459260747887
12,37.27593720314938,0.7116932059435818,22.758459260747887
13,61.054022965853264,1.1785417209656466,22.758459260747887
14,100.0,1.460089094788322,22.758459260747887
0,0.1,0.02561773709892325,37.27593720314938
1,0.16378937069540642,0.025617691434966748,37.27593720314938
2,0.2682695795279726,0.02561744658049912,37.27593720314938
3,0.43939705607607904,0.02561613040814196,37.27593720314938
4,0.7196856730011519,0.02560905041519533,37.27593720314938
5,1.1787686347935873,0.025570972528119032,37.27593720314938
6,1.9306977288832496,0.025366330561523348,37.27593720314938
7,3.1622776601683795,0.024318185854953576,37.27593720314938
8,5.17947467923121,0.019203546193211025,37.27593720314938
9,8.483428982440717,0.017352495530318254,37.27593720314938
10,13.894954943731374,0.1232402146706934,37.27593720314938
11,22.758459260747887,0.36485410349543174,37.27593720314938
12,37.27593720314938,0.766449012162539,37.27593720314938
13,61.054022965853264,1.2390710181262639,37.27593720314938
14,100.0,1.4704877693333134,37.27593720314938
0,0.1,0.025617741301149948,61.054022965853264
1,0.16378937069540642,0.025617715683806788,61.054022965853264
2,0.2682695795279726,0.025617577667491266,61.054022965853264
3,0.43939705607607904,0.025616835188191023,61.054022965853264
4,0.7196856730011519,0.025612848465179583,61.054022965853264
5,1.1787686347935873,0.02559136088011182,61.054022965853264
6,1.9306977288832496,0.025475850091157014,61.054022965853264
7,3.1622776601683795,0.024866984441551925,61.054022965853264
8,5.17947467923121,0.021784051495569067,61.054022965853264
9,8.483428982440717,0.009765690099597322,61.054022965853264
10,13.894954943731374,0.08254728553534889,61.054022965853264
11,22.758459260747887,0.3355457559071371,61.054022965853264
12,37.27593720314938,0.7998137743628052,61.054022965853264
13,61.054022965853264,1.2713359017724566,61.054022965853264
14,100.0,1.4749282724358572,61.054022965853264
0,0.1,0.02561774272450742,100.0
1,0.16378937069540642,0.025617723105184533,100.0
2,0.2682695795279726,0.025617617578717146,100.0
3,0.43939705607607904,0.02561704990223123,100.0
4,0.7196856730011519,0.025613996338726967,100.0
5,1.1787686347935873,0.025597571268806685,100.0
6,1.9306977288832496,0.02550923383702103,100.0
7,3.1622776601683795,0.025034758963477805,100.0
8,5.17947467923121,0.022662730045101314,100.0
9,8.483428982440717,0.012351945954299805,100.0
10,13.894954943731374,0.06479302805564527,100.0
11,22.758459260747887,0.3169016215752014,100.0
12,37.27593720314938,0.8164370570239203,100.0
13,61.054022965853264,1.2864576488283872,100.0
14,100.0,1.4767842034171286,100.0
